"Carimbo de data/hora","Em qual fase do curso você está?","Qual a sua principal área de interesse?","Qual a sua área de interesse secundária?","Qual a sua área de menor interesse?","Está empregado(a) em sua área de interesse?","Já esteve empregado(a) em sua área de interesse?","Está satisfeito com sua atual função?"
"2023/11/17 4:40:23 PM GMT-3","Quinta","Inteligência Artificial","Cientista de Dados","Desenvolvimento Web Front-end","Não estou","Sim","Atualmente fora do mercado de trabalho."
"2023/11/17 4:42:38 PM GMT-3","Quinta","Gerente de Projetos","Game Dev","Tester","Estou na minha principal","Sim","Muito satisfeito."
"2023/11/17 4:47:23 PM GMT-3","Quinta","Segurança da Informação","Inteligência Artificial","Desenvolvimento Web Full Stack","Não estou","Sim","Satisfeito."
"2023/11/17 5:06:14 PM GMT-3","Oitava","Segurança da Informação","Segurança da Informação","Desenvolvimento Mobile","Não estou","Não","Neutro."
"2023/11/17 5:23:21 PM GMT-3","Oitava","Administração de Redes","Segurança da Informação","Game Dev","Estou na minha principal","Sim","Satisfeito."
"2023/11/22 6:02:28 PM GMT-3","Terceira","Web Full Stack","Desenvolvimento de Software","Analista de Dados","Não estou","Não","Neutro."
"2023/11/22 6:05:08 PM GMT-3","Terceira","Administração de Redes","Game Dev","Inteligência Artificial","Estou na minha principal","Sim","Muito satisfeito."
"2023/11/22 6:16:22 PM GMT-3","Terceira","Segurança da Informação","Administração de Banco de Dados","Game Dev","Não estou","Não","Atualmente fora do mercado de trabalho."
"2023/11/28 2:43:14 PM GMT-3","Terceira","Engenheria de Software","Cientista de Dados","Desenvolvimento Web Front-end","Estou na minha principal","Sim","Neutro."
"2023/11/28 2:44:51 PM GMT-3","Quinta","Web Front-end","Desenvolvimento Web Full Stack","Gerente de Projetos de TI","Não estou","Não","Atualmente fora do mercado de trabalho."
"2023/11/28 2:45:23 PM GMT-3","Quinta","Game Dev","Gerente de Projetos de TI","Analista de Qualidade","Não estou","Sim","Atualmente fora do mercado de trabalho."
"2023/11/28 3:10:26 PM GMT-3","Quinta","Analista de Dados","Engenheria de Software","Inteligência Artificial","Não estou","Sim","Pouco satisfeito."
"2023/11/28 3:11:46 PM GMT-3","Quinta","Segurança da Informação","Administração de Redes","Desenvolvimento de Software","Estou na minha principal","Sim","Muito satisfeito."